5500 BLOCK DELANCEY ST	8/29/2009 11:09:00 AM	19143
N 18TH ST  &  W HUNTING PARK AV	8/28/2009 9:07:00 PM	19140
N 30TH ST  &  W DAUPHIN ST	8/27/2009 7:13:00 PM	19132
200 BLOCK N SIMPSON ST	8/26/2009 11:57:00 PM	19139
200 BLOCK RUBICAM ST	8/26/2009 5:47:00 AM	19120
3400 BLOCK G ST	8/24/2009 10:57:00 PM	19134
2500 BLOCK SHIELDS ST	8/24/2009 12:29:00 PM	19142
3300 BLOCK MUTTER ST	8/23/2009 9:51:00 PM	19140
3100 BLOCK DIAMOND ST	8/21/2009 3:35:00 AM	19121
2500 BLOCK N BROAD ST	8/21/2009 12:46:00 AM	19132
6100 BLOCK LUDLOW ST	8/20/2009 12:32:00 AM	19139
6100 BLOCK LUDLOW ST	8/20/2009 12:11:00 AM	19139
2600 BLOCK S 71ST ST	8/17/2009 1:12:00 AM	19142
1000 BLOCK LONGSHORE AV	8/16/2009 4:23:00 AM	19111
1900 BLOCK S 65TH ST	9/30/2007 2:53:00 PM	19142
N 2ND ST  &  SPRING GARDEN ST	9/28/2007 3:32:00 AM	19123
2300 BLOCK W PASSYUNK AV	9/28/2007 3:02:00 AM	19145
1500 BLOCK S 28TH ST	9/26/2007 6:15:00 PM	19146
7000 BLOCK TORRESDALE AV	9/26/2007 10:26:00 AM	19135
400 BLOCK N 52ND ST	9/25/2007 5:45:00 PM	19139
5900 BLOCK RACE ST	9/25/2007 1:50:00 PM	19139
5800 BLOCK OSAGE AV	9/25/2007 3:50:00 AM	19143
N 63RD ST  &  W GIRARD AV	9/24/2007 6:08:00 PM	19151
N 8TH ST  &  W SOMERSET ST	9/23/2007 1:45:00 AM	19133
2900 BLOCK ROSEHILL ST	9/22/2007 2:47:00 AM	19134
200 BLOCK RAMSEY ST	9/22/2007 2:06:00 AM	19139
ROSEHILL ST  &  E INDIANA AV	9/22/2007 2:04:00 AM	19134
4300 BLOCK N 8TH ST	9/20/2007 9:25:00 AM	19140
2500 BLOCK N 17TH ST	9/20/2007 12:10:00 AM	19132
S 55TH ST  &  PINE ST	9/19/2007 4:42:00 PM	19143
3100 BLOCK N FRONT ST	9/16/2007 2:45:00 AM	19133
1900 BLOCK MARGARET ST	9/16/2007 2:25:00 AM	19124
E ROOSEVELT BLVD  &  WINCHESTER AV	9/14/2007 7:15:00 PM	19152
2200 BLOCK W DIAMOND ST	9/14/2007 6:39:00 PM	19121
1800 BLOCK E CORNWALL ST	9/14/2007 3:53:00 AM	19134
OXFORD CIR  &  E ROOSEVELT BLVD	9/14/2007 2:11:00 AM	19149
6700 BLOCK OXFORD AV	9/11/2007 2:58:00 PM	19111
1400 BLOCK PORTER ST	9/10/2007 2:26:00 PM	19145
2700 BLOCK KENSINGTON AV	9/9/2007 4:40:00 PM	19134
6000 BLOCK CASTOR AV	9/8/2007 1:43:00 AM	19149
100 BLOCK W SUSQUEHANNA AV	9/8/2007 1:23:00 AM	19122
3300 BLOCK N 19TH ST	9/7/2007 11:51:00 PM	19140
1700 BLOCK DICKINSON ST	9/7/2007 10:59:00 PM	19146
DELAWARE EXP RAMP B  &  COTTMAN AV	9/7/2007 9:15:00 AM	19149
2400 BLOCK N LEITHGOW ST	9/6/2007 4:53:00 PM	19133
1800 BLOCK W SUSQUEHANNA AV	9/6/2007 1:06:00 AM	19121
3600 BLOCK ARAMINGO AV	9/4/2007 4:25:00 PM	19134
1800 BLOCK WALNUT ST	9/3/2007 12:17:00 PM	19103
N MOLE ST  &  W SERGEANT ST	9/3/2007 6:34:00 AM	19132
800 BLOCK E LUZERNE ST	9/2/2007 4:43:00 AM	19124
4800 BLOCK RIDGE AV	9/2/2007 1:15:00 AM	19129
3300 BLOCK DIAMOND DRIVE	9/1/2007 11:32:00 PM	19121
1400 BLOCK REED ST	9/1/2007 9:23:00 PM	19146
100 BLOCK W WYOMING AV	9/1/2007 6:09:00 PM	19140
6100 BLOCK CALLOWHILL ST	9/1/2007 4:01:00 AM	19139
2000 BLOCK N 31ST ST	9/1/2007 3:10:00 AM	19121
3100 BLOCK E ST	9/1/2007 3:03:00 AM	19134
3800 BLOCK HAVERFORD AV	9/1/2007 2:20:00 AM	19104
5500 BLOCK BALTIMORE AV	9/30/2008 12:40:00 AM	19143
3500 BLOCK JASPER ST	9/30/2008 12:13:00 AM	19134
1300 BLOCK FAIRMONT	9/28/2008 7:04:00 PM	19123
1000 BLOCK S PAXON ST	9/28/2008 1:16:00 AM	19143
5200 BLOCK N BROAD ST	9/26/2008 9:08:00 AM	19141
N REESE ST &  W DAUPHIN ST	9/25/2008 6:14:00 PM	19133
2100 BLOCK E CAMBRIA ST	9/25/2008 12:52:00 AM	19134
2200 BLOCK N 17TH ST	9/24/2008 10:16:00 AM	19132
8200 BLOCK E ROOSEVELT BLVD	9/24/2008 1:43:00 AM	19152
COBBS CREEK PKWY  &  S 70TH ST	9/23/2008 11:58:00 PM	19050
2200 BLOCK N COLORADO ST	9/23/2008 1:47:00 PM	19132
9200 BLOCK OLD BUSTLETON AV	9/20/2008 2:12:00 PM	19115
6700 BLOCK BASS ST	9/19/2008 9:52:00 PM	19119
800 BLOCK E THAYER ST	9/16/2008 9:51:00 PM	19134
1500 BLOCK N BOUVIER ST	9/16/2008 8:44:00 PM	19121
N 20TH ST  &  W SUSQUEHANNA AV	9/14/2008 11:04:00 PM	19132
3100 BLOCK MEMPHIS ST	9/14/2008 12:39:00 AM	19134
3400 BLOCK N 17TH ST	9/13/2008 8:49:00 AM	19140
N 36TH ST &  ASPEN ST	9/11/2008 11:24:00 PM	19104
N 36TH ST  &  ASPEN ST	9/11/2008 10:22:00 PM	19104
1700 BLOCK S 54TH ST	9/9/2008 9:39:00 PM	19143
800 BLOCK W LINDLEY AVE	9/8/2008 8:49:00 PM	19141
S BROAD ST  &  OREGON AV	9/8/2008 4:18:00 PM	19148
4400 BLOCK N FRANKLIN ST	9/6/2008 8:17:00 PM	19140
1300 BLOCK S BOUVIER ST	9/6/2008 10:35:00 AM	19146
N 39TH ST &  WALLACE ST	9/5/2008 9:34:00 PM	19104
3200 BLOCK RAWLE ST	9/2/2008 5:34:00 PM	19149
800 BLOCK E THAYER ST	9/2/2008 2:32:00 PM	19134
2900 BLOCK N 5TH ST	9/2/2008 2:31:00 AM	19133
2900 BLOCK N 5TH ST	9/2/2008 2:31:00 AM	19133
4700 BLOCK N 13TH ST	9/13/2009 4:37:00 AM	19141
100 BLOCK GREYCOURT RD	9/12/2009 5:18:00 PM	19115
1600 BLOCK N 29TH ST	9/8/2009 4:58:00 PM	19121
300 BLOCK N 62ND ST	9/7/2009 3:33:00 PM	19139
2400 BLOCK GERMANTOWN AV	9/6/2009 2:15:00 AM	19133
3300 BLOCK POTTER ST	9/5/2009 4:35:00 AM	19134
600 BLOCK W SEDGLEY AV	9/3/2009 10:23:00 PM	19140
5400 BLOCK LANCASTER AV	9/3/2009 9:02:00 PM	19131
5700 BLOCK HAVERFORD AV	9/3/2009 5:03:00 PM	19131
6500 BLOCK REGENT ST	9/2/2009 10:36:00 PM	19142
1900 BLOCK W WILLARD ST	9/2/2009 5:10:00 PM	19140
2200 BLOCK S 66TH ST	9/2/2009 6:15:00 AM	19142
3900 BLOCK POPLAR ST	9/29/2009 5:32:00 PM	19104
1500 BLOCK S LINDENWOOD ST	9/28/2009 10:45:00 AM	19143
E ROOSEVELT BLVD  &  BRIDGE ST	9/27/2009 11:07:00 PM	19124
2600 BLOCK N MARSHALL ST	9/26/2009 10:09:00 PM	19133
1100 BLOCK E HORTTER ST	9/25/2009 6:10:00 PM	19150
1300 BLOCK N 56TH ST	9/24/2009 2:42:00 PM	19131
5400 BLOCK TRINITY ST	9/23/2009 9:32:00 PM	19143
2400 BLOCK MORRIS ST	9/23/2009 9:10:00 PM	19145
2500 BLOCK N COLORADO ST	9/22/2009 12:54:00 AM	19132
400 BLOCK W NORRIS ST	9/21/2009 7:48:00 PM	19122
6600 BLOCK GUYER AVE	9/21/2009 7:00:00 PM	19142
N 64TH ST  &  CALLOWHILL ST	9/21/2009 10:51:00 AM	19151
S 58TH ST  &  WEBSTER ST	9/20/2009 1:53:00 AM	19143
4800 BLOCK N 11TH ST	9/19/2009 11:36:00 PM	19141
4000 BLOCK N BROAD ST	9/17/2009 11:59:00 PM	19140
1700 BLOCK W BRISTOL ST	9/15/2009 12:31:00 AM	19140
LANSDOWNE AV  &  N 75TH ST	10/31/2007 9:16:00 PM	19151
6600 BLOCK N BROAD ST	10/31/2007 10:29:00 AM	19126
1600 BLOCK S YEWDALL ST	10/30/2007 8:05:00 PM	19143
1500 BLOCK W DAUPHIN ST	10/30/2007 3:20:00 PM	19132
7300 BLOCK E ROOSEVELT BLVD	10/30/2007 6:21:00 AM	19149
700 BLOCK GARLAND ST	10/29/2007 1:20:00 AM	19124
800 BLOCK LINDLEY AV	10/28/2007 6:38:00 PM	19141
S 38TH ST &  LUDLOW ST	10/28/2007 2:02:00 AM	19104
4100 BLOCK N 8TH ST	10/28/2007 1:03:00 AM	19140
N CHADWICK ST  &  W DAUPHIN ST	10/27/2007 12:10:00 PM	19132
N 3RD ST  &  W ALLEGHENY AV	10/27/2007 1:14:00 AM	19140
6700 BLOCK RISING SUN AV	10/26/2007 3:28:00 AM	19111
1900 BLOCK DALLAS ST	10/26/2007 2:52:00 AM	19138
200 BLOCK S 13TH ST	10/25/2007 9:52:00 PM	19107
2800 BLOCK N FRONT ST	10/25/2007 6:54:00 PM	19133
1900 BLOCK PRATT ST	10/24/2007 11:09:00 PM	19124
5200 BLOCK PENNWAY ST	10/24/2007 9:20:00 PM	19124
4400 BLOCK RISING SUN AV	10/24/2007 2:09:00 AM	19140
FRANKFORD AV  &  E LEHIGH AV	10/22/2007 2:41:00 PM	19125
COBBS CREEK PKWY  &  CATHARINE ST	10/21/2007 1:26:00 AM	19143
2000 BLOCK GRANITE ST	10/19/2007 3:50:00 PM	19124
4500 BLOCK WAYNE AV	10/18/2007 9:38:00 AM	19144
300 BLOCK W SOMERVILLE AV	10/17/2007 11:37:00 PM	19120
4400 BLOCK WALN ST	10/17/2007 6:11:00 PM	19124
1300 BLOCK LINDLEY AV 	10/17/2007 3:10:00 PM	19141
1700 BLOCK S 60TH ST	10/15/2007 8:51:00 PM	19142
S CECIL ST  &  CHESTER AV	10/12/2007 8:27:00 PM	19143
S 61ST ST  &  W PASSYUNK AV	10/11/2007 9:00:00 PM	19153
600 BLOCK BRILL ST	10/8/2007 2:17:00 PM	19120
3900 BLOCK ASPEN ST	10/8/2007 1:56:00 AM	19104
1300 BLOCK GREEBY ST	10/7/2007 12:16:00 PM	19111
3700 BLOCK N 2ND ST	10/6/2007 11:55:00 PM	19140
N BROAD ST  &  W VENANGO ST	10/6/2007 9:06:00 PM	19140
400 BLOCK N 9TH ST	10/6/2007 3:33:00 AM	19123
400 BLOCK N 9TH ST	10/6/2007 2:09:00 AM	19123
600 BLOCK E ALLEGHENY AV	10/5/2007 9:48:00 PM	19134
7300 BLOCK BUSTLETON AV	10/4/2007 3:17:00 PM	19149
BUSTLETON AV  &  BLEIGH AV	10/4/2007 8:09:00 AM	19149
3200 BLOCK W YORK ST	10/3/2007 10:13:00 PM	19132
S 2ND ST  &  MARKET ST	10/1/2007 2:56:00 PM	19106
8200 BLOCK STATE RD 	10/31/2008 7:18:00 PM	19136
2000 BLOCK W TIOGA ST	10/29/2008 2:50:00 PM	19140
200 BLOCK W ALBANUS ST	10/28/2008 7:48:00 PM	19120
4900 BLOCK N CAMAC ST	10/28/2008 5:04:00 PM	19141
800 BLOCK E ERIE AV	10/28/2008 7:21:00 AM	19140
S 21ST ST  &  MOORE ST	10/27/2008 8:51:00 AM	19145
100 BLOCK W WINGOHOCKING ST	10/27/2008 6:10:00 AM	19140
1400 BLOCK UNITY ST	10/27/2008 3:55:00 AM	19124
1000 BLOCK PALLAS ST	10/26/2008 11:10:00 PM	19104
DISSTON ST  &  TORRESDALE AV	10/26/2008 10:46:00 AM	19135
ISLAND AV  &  BUIST AV	10/26/2008 3:25:00 AM	19153
2800 BLOCK RIDGE AVE	10/26/2008 2:25:00 AM	19121
4400 BLOCK WHITAKER AV	10/24/2008 11:31:00 PM	19120
4700 BLOCK N PENN ST	10/24/2008 8:17:00 PM	19124
3000 BLOCK N HOWARD ST	10/24/2008 10:06:00 AM	19133
2300 BLOCK N MARSHALL ST	10/23/2008 11:34:00 PM	19133
2300 BLOCK N MARSHALL ST	10/23/2008 9:11:00 PM	19133
100 BLOCK W INDIANA AV	10/23/2008 6:32:00 PM	19133
100 BLOCK W INDIANA AV	10/23/2008 12:54:00 PM	19133
2800 BLOCK N RINGGOLD ST	10/23/2008 1:53:00 AM	19132
6800 BLOCK PASCHALL AV	10/23/2008 12:20:00 AM	19142
2000 BLOCK BRIDGE ST	10/22/2008 12:56:00 PM	19124
1400 BLOCK N 56TH ST	10/21/2008 7:11:00 PM	19131
2600 BLOCK N LAWRENCE ST	10/21/2008 4:24:00 PM	19133
4000 BLOCK LUDLOW ST	10/17/2008 10:52:00 PM	19104
100 BLOCK W INDIANA AV	10/17/2008 11:32:00 AM	19133
1500 BLOCK E WASHINGTON LA	10/17/2008 2:40:00 AM	19138
1500 BLOCK N 52ND ST	10/16/2008 11:17:00 PM	19131
FRANKFORD AV  &  DYRE ST	10/15/2008 10:39:00 AM	19124
2100 BLOCK E CAMBRIA ST	10/14/2008 4:35:00 AM	19134
1600 BLOCK N 16TH ST	10/12/2008 3:19:00 AM	19121
4700 BLOCK A ST	10/11/2008 1:24:00 PM	19120
3400 BLOCK GOODMAN ST	10/11/2008 11:21:00 AM	19140
1 BLOCK N 61ST ST	10/10/2008 11:58:00 PM	19139
N 4TH ST  &  W GODFREY AV	10/7/2008 6:40:00 AM	19120
1200 BLOCK N 29TH ST	10/5/2008 8:23:00 PM	19121
1700 BLOCK N ALLISON ST	10/4/2008 7:46:00 PM	19131
1300 BLOCK PRATT ST	10/4/2008 7:34:00 PM	19124
W HUNTING PARK AV &  N BROAD ST	10/4/2008 2:05:00 PM	19140
900 BLOCK W COLLEGE AV 	10/4/2008 4:15:00 AM	19130
400 BLOCK N REDFIELD ST	10/2/2008 12:05:00 PM	19151
100 BLOCK W FISHER AV	10/14/2009 8:09:00 PM	19120
2200 BLOCK COTTMAN AV	10/14/2009 10:13:00 AM	19149
5600 BLOCK ARCH ST	10/13/2009 1:43:00 AM	19139
2000 BLOCK WALNUT ST	10/12/2009 1:16:00 PM	19103
1700 BLOCK S CHADWICK ST	10/11/2009 11:58:00 PM	19145
6400 BLOCK N 15TH ST	10/11/2009 12:03:00 AM	19126
4100 BLOCK W GIRARD AV	10/9/2009 3:47:00 PM	19104
2100 BLOCK ELLSWORTH ST	10/9/2009 12:07:00 AM	19146
100 BLOCK E DUVAL ST	10/8/2009 8:33:00 PM	19144
400 BLOCK E GOWEN AV	10/8/2009 6:47:00 PM	19119
1700 BLOCK E PASSYUNK AV	10/8/2009 1:36:00 PM	19148
2500 BLOCK N CLEVELAND ST	10/7/2009 6:39:00 PM	19132
3300 BLOCK S KESWICK RD	10/7/2009 5:48:00 PM	19114
7600 BLOCK OGONTZ AV	10/5/2009 6:09:00 PM	19150
1800 BLOCK S 7TH ST	10/4/2009 4:21:00 AM	19148
4100 BLOCK TORRESDALE AV	10/4/2009 1:58:00 AM	19124
2000 BLOCK S NORWOOD ST	10/1/2009 7:58:00 PM	19145
500 BLOCK E WESTMORELAND ST	10/31/2009 12:52:00 AM	19134
N 57TH ST  &  MASTER ST	10/27/2009 7:15:00 PM	19131
7400 BLOCK DUNGAN RD	10/26/2009 9:23:00 PM	19111
4000 BLOCK RENO ST	10/24/2009 1:50:00 PM	19104
1700 BLOCK BLEIGH AV	10/24/2009 3:51:00 AM	19111
3200 BLOCK H ST	10/23/2009 12:35:00 AM	19134
LINCOLN FINANCIAL @ 1020 PATTISON AV	10/21/2009 11:03:00 PM	19148
S 15TH ST &  LOCUST ST	10/21/2009 4:12:00 PM	19120
600 BLOCK ROXBOROUGH AV	10/21/2009 3:13:00 PM	19128
4700 BLOCK C ST	10/21/2009 10:08:00 AM	19120
RENOVO ST  &  ANDREWS AV	10/20/2009 11:13:00 PM	19138
W COURTLAND ST  &  W ROOSEVELT BLVD	10/20/2009 8:39:00 PM	19140
6700 BLOCK WOOLSTON AV	10/19/2009 9:52:00 PM	19138
S FRAZIER ST  &  CHESTER AV	10/19/2009 12:32:00 PM	19143
5400 BLOCK BELMAR ST	10/18/2009 9:39:00 PM	19143
5400 BLOCK BELMAR ST	10/18/2009 8:31:00 PM	19143
1900 BLOCK N NEWKIRK ST	10/15/2009 1:08:00 PM	19145
2000 BLOCK DICKINSON ST	11/30/2007 2:48:00 PM	19146
N 11TH ST &  DIAMOND ST	11/29/2007 5:26:00 PM	19122
S 58TH ST  &  CHESTER AV	11/29/2007 2:05:00 PM	19143
1800 BLOCK W SOMERSET ST	11/28/2007 4:18:00 PM	19132
2000 BLOCK BENJAMIN FRANKLIN PKWY	11/28/2007 11:24:00 AM	19103
1200 BLOCK S NAPA ST	11/26/2007 7:04:00 AM	19146
S 38TH ST  &  CHESTNUT ST	11/26/2007 12:13:00 AM	19104
100 BLOCK W LOGAN ST	11/25/2007 6:29:00 PM	19144
DELAWARE EXP RAMP A  &  ARAMINGO AV	11/25/2007 7:52:00 AM	19149
1600 BLOCK BRILL ST	11/25/2007 4:48:00 AM	19124
800 BLOCK W TIOGA ST	11/24/2007 6:16:00 PM	19140
5100 BLOCK PARRISH ST	11/22/2007 3:39:00 AM	19139
5800 BLOCK E ROOSEVELT BLVD	11/21/2007 5:50:00 PM	19149
6500 BLOCK WHEELER ST	11/19/2007 7:18:00 PM	19142
