"AREAKEY","INTPTLAT","INTPTLON","AREALAND","AREAWATR","AREALANM","AREAWATM","STUSAB","REGION","DIVISION","STATECE","STATE","COUNTY","COUNTYSC","COUSUB","COUSUBCC","COUSUBSC","PLACE","PLACECC","PLACEDC","PLACESC","TRACT","BLKGRP","BLOCK","CONCIT","CONCITCC","CONCITSC","AIANHHCE","AIANHH","AIANHHCC","AIHHTLI","AITSCE","AITS","AITSCC","ANRC","ANRCCC","MSACMSA","MASC","CMSA","MACCI","PMSA","NECMA","NECMACCI","NECMASC","EXI","UA","UASC","UATYPE","UR","CD106","CD108","CD109","CD110","SLDU","SLDL","VTD","VTDI","ZCTA3","ZCTA5","SUBMCD","SUBMCDCC","FUNCSTAT","GCUNI","LSADC","SDELM","SDSEC","SDUNI","TAZ","UGA","PUMA5","PUMA1","MACC","UACP","P001001","P002001","P003001","P004001","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P006001","P006002","P006003","P006004","P006005","P006006","P006007","P006008","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017"
"42091205809","40.107470","-75.366283","2283665","44225","0.88","0.02","PA","1","2","23","42","091","20","","","","","","0","","205809","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2791","465","2791","16.7","2791","2791","2791","0","0","0","0","2791","2422","128","11","155","0","52","23","988","15","32","27","29","44","31","23","36","30","42","157","184","176","74","52","36"
"42091205903","40.072308","-75.387514","4245903","0","1.64","0.00","PA","1","2","23","42","091","20","","","","","","0","","205903","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2526","388","2470","15.7","2526","2526","2526","0","0","0","0","2526","2319","42","0","113","0","0","52","934","9","7","5","8","16","31","24","6","18","118","101","140","117","69","127","138"
"42091205904","40.067667","-75.346723","3734849","0","1.44","0.00","PA","1","2","23","42","091","20","","","","","","0","","205904","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2175","333","2231","14.9","2175","2175","2175","0","0","0","0","2175","1952","184","0","18","0","11","10","917","8","11","21","11","34","7","30","39","18","55","74","142","132","110","82","143"
"42091205905","40.080375","-75.358185","3162361","0","1.22","0.00","PA","1","2","23","42","091","20","","","","","","0","","205905","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3187","505","3220","15.7","3187","3187","3187","0","0","0","0","3187","2484","181","9","378","9","27","99","1665","72","59","51","88","91","93","86","109","64","212","234","289","88","37","46","46"
"42091205906","40.084392","-75.334373","6731524","115863","2.60","0.04","PA","1","2","23","42","091","20","","","","","","0","","205906","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1971","322","1938","16.6","1971","1971","1971","0","0","0","0","1971","1687","182","0","83","0","5","14","807","21","20","40","14","41","12","51","25","51","70","136","137","60","73","18","38"
"42091206004","40.153528","-75.407937","5828957","0","2.25","0.00","PA","1","2","23","42","091","20","","","","","","0","","206004","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","5867","933","5867","15.9","5867","5867","5867","0","0","0","0","5867","4196","1162","7","203","90","129","80","1561","67","66","46","88","69","93","65","62","99","121","284","230","117","66","42","46"
"42091206005","40.150685","-75.393363","4465963","0","1.72","0.00","PA","1","2","23","42","091","20","","","","","","0","","206005","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4708","751","4652","16.1","4708","4708","4708","0","0","0","0","4708","4315","69","0","213","0","7","104","1605","36","67","65","63","50","96","68","54","62","89","215","281","188","99","111","61"
"42091206006","40.128139","-75.421368","4650797","0","1.80","0.00","PA","1","2","23","42","091","20","","","","","","0","","206006","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1868","321","1924","16.7","1868","1868","1868","0","0","0","0","1868","1801","0","0","31","0","0","36","681","28","13","32","31","23","42","0","15","31","31","133","151","66","38","42","5"
"42091206007","40.123585","-75.438220","10887112","376342","4.20","0.15","PA","1","2","23","42","091","20","","","","","","0","","206007","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","5330","597","5311","11.2","5330","4941","4941","0","389","0","389","5330","4569","288","0","390","0","72","11","2062","92","69","71","123","47","132","139","123","84","111","269","383","187","109","63","60"
"42091206008","40.172488","-75.442591","8644844","151656","3.34","0.06","PA","1","2","23","42","091","20","","","","","","0","","206008","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4184","644","4182","15.4","4184","4184","4184","0","0","0","0","4184","3904","71","0","177","0","18","14","1399","18","16","27","35","52","66","67","54","57","91","177","300","216","96","101","26"
